X 		 Y
 460.0829	 50.0325
 457.2882	 48.1827
 458.7573	 48.7011
 574.0897	 873.9698
 590.2114	 891.1439
 557.3463	 851.8057
 547.2443	 838.1472
 559.3704	 852.9329
 564.083	 860.6016
 548.3884	 841.2228
 596.1796	 894.7119
 547.7021	 836.1632
 575.7322	 879.6722
 547.7078	 839.6506
 570.6416	 869.9359
 598.9766	 896.701
 550.0886	 827.8353
 549.5276	 831.6198
 552.5082	 827.4685
 575.5506	 876.3127
 601.9389	 898.566
 548.1903	 834.4186
 586.7302	 889.8832
 569.2667	 864.5331
 609.9014	 902.256
 552.0878	 828.4518
 556.0591	 850.0562
 560.0861	 855.3361
 570.9631	 866.2338
 572.3646	 871.8911
 605.7358	 899.952
 547.7701	 829.2517
 546.1437	 830.1242
 581.1063	 886.3969
 551.2537	 829.7476
 554.9717	 848.4117
 584.4824	 887.6835
 549.1613	 832.4227
 568.7505	 861.9684
 552.0891	 845.6078
 561.5356	 857.0408
 565.8325	 861.8262
 592.5954	 893.2371
 553.4377	 847.1091
 580.4605	 879.6363
 580.8095	 882.9932
 550.7523	 844.0649
 562.889	 858.7726
 551.8637	 840.6191
 553.1775	 826.3272
 649.5419	 947.8397
 651.6471	 943.0682
 650.913	 945.5074
 652.2585	 943.5735
 651.8536	 943.0835
 649.9928	 948.7094
 649.4542	 953.9194
 652.487	 942.2652
 650.5433	 950.2902
 652.0239	 943.2852
