X 		 Y
 401.0	732.0	0
 34.0	-127.0	0
 -4.0	-32.0	-5
 1.0	9.0	-5
 -9.0	0.0	-15
 -8.0	-1.0	-25
 -5.0	-1.0	-35
 -4.0	-3.0	-35
 3.0	-3.0	-35
 188.0	-74.0	-35
 -2.0	2.0	-35
 49.0	10.0	-25
 75.0	39.0	-15
 -10.0	-1.0	-25
 -8.0	-2.0	-35
 -5.0	-1.0	-45
 -103.0	14.0	-55
 -196.0	17.0	-60
 -16.0	-51.0	-75
 -8.0	10.0	-85
 2.0	12.0	-85
 0.0	3.0	-85
 -1.0	1.0	-85
 0.0	2.0	-85
 291.0	-18.0	-5
 -22.0	-16.0	-20
 -17.0	5.0	-30
 0.0	2.0	-30
 -1.0	1.0	-30
 -1.0	1.0	-30
 14.0	6.0	-20
 15.0	10.0	-10
 10.0	8.0	0
 8.0	9.0	10
 -274.0	72.0	0
 0.0	0.0	0
 4.0	-10.0	-5
 0.0	10.0	-5
 -5.0	4.0	-15
 -5.0	1.0	-25
 -3.0	1.0	-25
 0.0	1.0	-25
 1.0	1.0	-25
 303.0	-4.0	0
 1.0	13.0	0
 106.0	21.0	10
 78.0	-3.0	20
 34.0	-5.0	25
 26.0	-13.0	30
 15.0	0.0	40
 50.0	-5.0	45
 100.0	-17.0	50
 -235.0	6.0	45
 -478.0	6.0	0
 5.0	5.0	10
 23.0	9.0	20
 189.0	6.0	25
 22.0	17.0	35
 224.0	-14.0	35
 15.0	-5.0	40
 50.0	18.0	50
 4.0	-7.0	45
 43.0	-83.0	50
 -35.0	55.0	40
 -7.0	7.0	30
 93.0	-20.0	35
 23.0	35.0	45
 20.0	8.0	55
 8.0	4.0	65
 1.0	3.0	65
 -3.0	2.0	65
 -500.0	27.0	0
 -237.0	6.0	-5
 10.0	-6.0	0
 -5.0	-1.0	-10
 6.0	-1.0	0
 26.0	-7.0	5
 17.0	0.0	15
 123.0	5.0	25
 53.0	-15.0	30
 -1.0	2.0	30
 6.0	4.0	40
 12.0	-3.0	50
 -84.0	24.0	40
 -140.0	51.0	35
 -39.0	1.0	25
 -19.0	1.0	15
 15.0	0.0	25
 13.0	0.0	35
 149.0	8.0	40
 61.0	8.0	50
 0.0	-2.0	50
 0.0	-3.0	50
 148.0	14.0	55
 -2.0	-2.0	55
 51.0	-12.0	60
 14.0	1.0	70
 247.0	0.0	75
 -1.0	-15.0	70
 -288.0	28.0	0
 -133.0	12.0	-5
 -10.0	0.0	-15
 3.0	2.0	-15
 1.0	2.0	-15
 -4.0	0.0	-15
 0.0	0.0	-15
 142.0	-259.0	0
 -16.0	82.0	-10
 -11.0	35.0	-20
 0.0	-16.0	-25
 -146.0	-481.0	0
 2.0	4.0	0
 0.0	-5.0	-5
 6.0	2.0	5
 10.0	0.0	15
 10.0	-2.0	25
 144.0	-7.0	25
 4.0	1.0	25
 3.0	0.0	25
 10.0	0.0	35
 11.0	0.0	45
 97.0	0.0	55
 25.0	-1.0	65
 20.0	3.0	75
 122.0	3.0	85
 -1.0	6.0	85
 -177.0	103.0	80
 -361.0	213.0	-5
 -86.0	30.0	-15
 23.0	-65.0	-10
 16.0	93.0	0
 -19.0	-21.0	-15
 26.0	-107.0	-10
 55.0	-176.0	0
 6.0	45.0	10
 40.0	150.0	15
 22.0	40.0	25
 6.0	15.0	35
 11.0	4.0	45
 21.0	9.0	55
 15.0	0.0	65
 13.0	0.0	75
 13.0	3.0	85
 13.0	5.0	95
 14.0	4.0	105
 50.0	9.0	115
 61.0	-1.0	125
 3.0	-58.0	120
 -17.0	26.0	110
 -6.0	5.0	100
 -2.0	2.0	100
 0.0	4.0	100
 0.0	0.0	100
 0.0	0.0	100
 0.0	3.0	100
 0.0	3.0	100
